pais,categoria_tag,categoria_label,count
fr,sales-jobs,Emplois Vente,27645
fr,hr-jobs,Emplois RH et Recrutement,24461
fr,graduate-jobs,Emplois Diplômés,20534
fr,property-jobs,Emplois Immobilier,17574
fr,teaching-jobs,Emplois Enseignement,16658
fr,consultancy-jobs,Emplois Consultants,15441
fr,domestic-help-cleaning-jobs,Emploi Aide ménagère et Nettoyage,11480
fr,maintenance-jobs,Emplois Maintenance,10828
fr,pr-advertising-marketing-jobs,"Emplois RP, Publicité et Marketing",8359
fr,admin-jobs,Emplois Administration,5431
fr,retail-jobs,Emplois Commerce détail,4664
fr,social-work-jobs,Emplois Travail social,4349
fr,scientific-qa-jobs,Emplois Scientifiques et AQ,3913
fr,customer-services-jobs,Emplois Services client,2862
fr,energy-oil-gas-jobs,"Emplois Énergie, pétrole et gaz",2593
fr,travel-jobs,Emplois Voyages,2155
fr,creative-design-jobs,Emplois Création et Design,1492
fr,legal-jobs,Emplois Droit,803
fr,charity-voluntary-jobs,Emplois Caritatif et Volontariat,8
fr,part-time-jobs,Emplois Temps partiel,1
gb,teaching-jobs,Teaching Jobs,221735
gb,trade-construction-jobs,Trade & Construction Jobs,68704
gb,engineering-jobs,Engineering Jobs,68290
gb,it-jobs,IT Jobs,51209
gb,sales-jobs,Sales Jobs,45348
gb,accounting-finance-jobs,Accounting & Finance Jobs,36647
gb,healthcare-nursing-jobs,Healthcare & Nursing Jobs,32920
gb,hospitality-catering-jobs,Hospitality & Catering Jobs,32138
gb,social-work-jobs,Social work Jobs,28258
gb,logistics-warehouse-jobs,Logistics & Warehouse Jobs,26813
gb,admin-jobs,Admin Jobs,16230
gb,domestic-help-cleaning-jobs,Domestic help & Cleaning Jobs,13867
gb,legal-jobs,Legal Jobs,13237
gb,retail-jobs,Retail Jobs,13070
gb,customer-services-jobs,Customer Services Jobs,11370
gb,pr-advertising-marketing-jobs,"PR, Advertising & Marketing Jobs",10824
gb,manufacturing-jobs,Manufacturing Jobs,10202
gb,hr-jobs,HR & Recruitment Jobs,7670
gb,part-time-jobs,Part time Jobs,7561
gb,consultancy-jobs,Consultancy Jobs,6217
gb,maintenance-jobs,Maintenance Jobs,5716
gb,scientific-qa-jobs,Scientific & QA Jobs,5301
gb,graduate-jobs,Graduate Jobs,5294
gb,property-jobs,Property Jobs,3733
gb,creative-design-jobs,Creative & Design Jobs,3267
gb,travel-jobs,Travel Jobs,2584
gb,energy-oil-gas-jobs,"Energy, Oil & Gas Jobs",1410
gb,charity-voluntary-jobs,Charity & Voluntary Jobs,944
gb,other-general-jobs,Other/General Jobs,712
gb,unknown,Unknown,8
nl,unknown,Unknown,117236
nl,engineering-jobs,Bouwkunde vacatures,28096
nl,domestic-help-cleaning-jobs,Thuishulp en schoonmaak vacatures,17326
nl,logistics-warehouse-jobs,Logistieke vacatures,12689
nl,manufacturing-jobs,Industriële vacatures,11869
nl,other-general-jobs,Vacatures Ander of Algemeen,8657
nl,teaching-jobs,Vacatures voor leraren,6558
nl,healthcare-nursing-jobs,Gezondheidszorg Wetenschap en Verpleging vacatures,6078
nl,it-jobs,IT ICT vacatures,5729
nl,admin-jobs,Administratieve vacatures,4253
nl,hospitality-catering-jobs,Horeca en Catering vacatures,3405
nl,retail-jobs,Detailhandel vacatures,3346
nl,trade-construction-jobs,Handel vacatures,2938
nl,accounting-finance-jobs,Accounting en Financiële vacatures,2815
nl,sales-jobs,Sales vacatures,2291
nl,maintenance-jobs,Onderhoud vacatures,1934
nl,consultancy-jobs,Adviseur en Consultancy vacatures,1392
nl,pr-advertising-marketing-jobs,PR Reclame en Marketing vacatures,1175
nl,hr-jobs,Personeelszaken Human Resources vacatures,1130
nl,customer-services-jobs,Klantenservice vacatures,1042
nl,scientific-qa-jobs,QA en Kwaliteitsborging vacatures,807
nl,creative-design-jobs,Creatieve Design vacatures,613
nl,property-jobs,Vastgoed vacatures,506
nl,social-work-jobs,Maatschappelijk werk vacatures,271
nl,legal-jobs,Juridische vacatures,230
nl,energy-oil-gas-jobs,Energie Olie en Gas vacatures,106
nl,travel-jobs,Vacatures in de Reisbranche,93
nl,charity-voluntary-jobs,Liefdadigheid en vrijwilligerswerk,93
nl,part-time-jobs,Parttime vacatures,63
nl,graduate-jobs,Vacatures voor universitair afgestudeerden,44
